Year Founded,Number of Companies Founded,Year_int
2010-01-01,18,2010
2011-01-01,19,2011
2012-01-01,20,2012
2013-01-01,24,2013
2014-01-01,27,2014
2015-01-01,45,2015
2016-01-01,54,2016
2017-01-01,66,2017
2018-01-01,77,2018
2019-01-01,109,2019
2020-01-01,105,2020
2021-01-01,95,2021
