Year,Consumption per Person,MaxConsumption,MinConsumption
2021-01-01,56.79,64.13,56.79
2020-01-01,57.54,64.13,56.79
2019-01-01,59.0,64.13,56.79
2018-01-01,61.47,64.13,56.79
2017-01-01,61.26,64.13,56.79
2016-01-01,60.93,64.13,56.79
2015-01-01,62.03,64.13,56.79
2014-01-01,62.12,64.13,56.79
2013-01-01,61.53,64.13,56.79
2012-01-01,61.87,64.13,56.79
2011-01-01,64.13,64.13,56.79
2010-01-01,63.27,64.13,56.79
